seed,goal_reached,path_length,nodes,loops,time
45640,1,29,179,179,0.000186920166015625
45641,1,29,177,176,0.00017976760864257812
45642,1,29,180,180,0.00019216537475585938
45644,1,29,179,178,0.00018262863159179688
45646,1,29,180,180,0.00018262863159179688
45647,1,29,180,179,0.0001895427703857422
45648,1,29,180,180,0.00021600723266601562
45649,1,29,179,179,0.0001819133758544922
45650,1,29,179,179,0.00018453598022460938
45651,1,29,180,179,0.00018334388732910156
45653,1,29,180,180,0.00018310546875
45654,1,29,178,177,0.0001811981201171875
45657,1,29,179,178,0.000186920166015625
45658,1,29,178,178,0.00018167495727539062
45659,1,29,180,180,0.0001823902130126953
45660,1,29,179,179,0.00018215179443359375
45661,1,29,175,173,0.0001842975616455078
45662,1,29,179,179,0.0001838207244873047
45663,1,29,179,179,0.0001819133758544922
45664,1,29,178,178,0.00018143653869628906
45666,1,29,176,176,0.00017881393432617188
45667,1,29,180,180,0.0001881122589111328
45668,1,29,180,180,0.0001895427703857422
45669,1,29,179,179,0.00020432472229003906
45670,1,29,180,180,0.0001881122589111328
45671,1,29,180,180,0.0001881122589111328
45672,1,29,180,180,0.00018358230590820312
45674,1,29,180,180,0.00018477439880371094
45675,1,29,164,162,0.0001666545867919922
45677,1,29,180,180,0.0001900196075439453
45678,1,29,180,180,0.00018358230590820312
45679,1,29,180,180,0.00018477439880371094
45680,1,29,179,179,0.00018334388732910156
45681,1,29,178,178,0.00018835067749023438
45682,1,29,179,179,0.00018310546875
45683,1,29,179,179,0.00018835067749023438
45684,1,29,179,179,0.000194549560546875
45686,1,29,175,175,0.0001785755157470703
45687,1,29,179,178,0.0001881122589111328
45688,1,29,180,180,0.00019121170043945312
45689,1,29,177,177,0.00018739700317382812
45690,1,29,179,179,0.00018787384033203125
45691,1,31,180,178,0.00018668174743652344
45692,1,29,180,180,0.0001895427703857422
45694,1,29,178,178,0.0001838207244873047
45695,1,29,180,180,0.0001876354217529297
45697,1,29,180,180,0.00018286705017089844
45698,1,29,180,179,0.00018644332885742188
45699,1,29,179,179,0.00018548965454101562
45701,1,29,177,176,0.00018215179443359375
45702,1,29,180,180,0.0001938343048095703
45704,1,29,177,177,0.00018453598022460938
45706,1,29,180,180,0.00018453598022460938
45707,1,29,180,180,0.00019884109497070312
45708,1,29,177,177,0.0001957416534423828
45709,1,29,180,180,0.000194549560546875
45710,1,29,180,180,0.00018644332885742188
45711,1,29,178,177,0.00018334388732910156
45712,1,29,175,175,0.0001895427703857422
45713,1,29,179,179,0.00018477439880371094
45714,1,29,180,180,0.0001938343048095703
45715,1,29,179,179,0.00020623207092285156
45716,1,29,180,180,0.00019931793212890625
45717,1,29,179,179,0.0001964569091796875
45720,1,29,180,180,0.0001842975616455078
45721,1,29,172,171,0.00018095970153808594
45722,1,29,180,180,0.0001933574676513672
45723,1,29,176,176,0.00018310546875
45725,1,29,178,178,0.00018358230590820312
45726,1,29,178,176,0.00018167495727539062
45727,1,29,180,180,0.0001857280731201172
45728,1,29,176,176,0.00018095970153808594
45732,1,29,180,180,0.00018334388732910156
45733,1,29,179,179,0.00019478797912597656
45734,1,29,176,176,0.00018715858459472656
45736,1,29,178,178,0.0001811981201171875
45737,1,29,180,180,0.0001842975616455078
45738,1,29,179,178,0.00018358230590820312
45739,1,29,179,178,0.00019502639770507812
45740,1,29,180,180,0.0002951622009277344
45741,1,29,180,180,0.0002224445343017578
45742,1,29,180,180,0.00019502639770507812
45743,1,29,179,179,0.0001926422119140625
45744,1,29,178,178,0.0001957416534423828
45747,1,29,178,178,0.0001850128173828125
45748,1,29,180,180,0.0001862049102783203
45749,1,29,177,177,0.00018358230590820312
45750,1,29,180,180,0.0001881122589111328
45752,1,29,179,179,0.00018405914306640625
45753,1,29,176,174,0.0001857280731201172
45754,1,29,174,174,0.000179290771484375
45755,1,29,179,178,0.00018310546875
45756,1,29,180,180,0.0001842975616455078
45757,1,29,178,178,0.00019478797912597656
45758,1,29,180,180,0.000186920166015625
45759,1,29,178,178,0.0001842975616455078
45760,1,29,178,178,0.00018310546875
45761,1,29,179,178,0.0001850128173828125
45762,1,29,179,179,0.00018525123596191406
45763,1,29,180,180,0.0001850128173828125
45764,1,29,180,180,0.0001895427703857422
45765,1,29,180,180,0.00018596649169921875
45766,1,29,175,175,0.0001823902130126953
45767,1,29,176,176,0.00018167495727539062
45769,1,29,173,166,0.00017189979553222656
45770,1,29,177,177,0.00018358230590820312
45771,1,29,179,179,0.0001850128173828125
45772,1,29,180,179,0.0001862049102783203
45773,1,29,180,180,0.00019288063049316406
45775,1,29,174,174,0.00018286705017089844
45777,1,29,177,177,0.0001895427703857422
45778,1,29,171,171,0.0002300739288330078
45781,1,29,180,180,0.00019240379333496094
45782,1,29,177,177,0.0001842975616455078
45783,1,29,179,179,0.00018453598022460938
45784,1,29,180,180,0.00018978118896484375
45786,1,29,178,178,0.00018596649169921875
45787,1,29,177,177,0.00018739700317382812
45789,1,29,179,178,0.00018453598022460938
45791,1,29,180,180,0.00018334388732910156
45792,1,29,176,175,0.0001862049102783203
45794,1,29,179,179,0.0001819133758544922
45795,1,29,179,179,0.0001838207244873047
45796,1,29,176,176,0.0001819133758544922
45797,1,29,180,180,0.00019121170043945312
45798,1,29,176,176,0.00018644332885742188
45799,1,29,178,178,0.0001838207244873047
45800,1,29,179,179,0.00018930435180664062
45801,1,29,180,180,0.0001838207244873047
45802,1,29,180,180,0.00018548965454101562
45803,1,33,180,180,0.00019240379333496094
45804,1,29,180,179,0.000194549560546875
45805,1,29,179,179,0.00018525123596191406
45806,1,29,179,179,0.00018644332885742188
45807,1,29,179,179,0.00018548965454101562
45809,1,29,180,180,0.0001838207244873047
45810,1,29,175,175,0.0001850128173828125
45811,1,29,178,178,0.0001938343048095703
45812,1,29,148,148,0.0001506805419921875
45813,1,29,177,177,0.0001823902130126953
45814,1,29,179,178,0.00018143653869628906
45815,1,29,175,175,0.00018525123596191406
45816,1,29,180,179,0.0001881122589111328
45817,1,29,177,176,0.00018525123596191406
45818,1,29,171,171,0.00018072128295898438
45820,1,29,180,180,0.00018215179443359375
45821,1,29,180,180,0.00018930435180664062
45822,1,29,179,179,0.0001862049102783203
45823,1,29,180,180,0.0001914501190185547
45824,1,29,179,179,0.00018644332885742188
45825,1,29,180,180,0.00018358230590820312
45826,1,29,175,173,0.00018167495727539062
45827,1,29,178,178,0.00018310546875
45828,1,29,179,179,0.0001823902130126953
45829,1,29,180,180,0.0001819133758544922
45830,1,29,180,179,0.00018286705017089844
45831,1,29,180,180,0.00018143653869628906
45832,1,29,179,175,0.0001780986785888672
45834,1,29,180,180,0.00018310546875
45836,1,29,179,179,0.0001785755157470703
45837,1,29,161,152,0.00017142295837402344
45838,1,29,180,180,0.0001919269561767578
45840,1,29,180,180,0.00018215179443359375
45841,1,29,176,176,0.0001900196075439453
45842,1,29,178,178,0.00018143653869628906
45843,1,29,178,177,0.00017905235290527344
45844,1,29,179,179,0.0001811981201171875
45846,1,29,177,176,0.00017762184143066406
45847,1,29,179,176,0.0001780986785888672
45848,1,29,179,179,0.0001819133758544922
45849,1,29,178,178,0.00018978118896484375
45850,1,29,176,176,0.00017905235290527344
45851,1,29,180,179,0.0001857280731201172
45853,1,29,179,179,0.00017881393432617188
45854,1,29,179,179,0.0001857280731201172
45855,1,29,180,180,0.00018215179443359375
45857,1,29,180,180,0.00018095970153808594
45858,1,29,176,176,0.00017833709716796875
45859,1,29,180,180,0.00018095970153808594
45860,1,29,179,179,0.00018262863159179688
45861,1,29,179,179,0.00018143653869628906
45862,1,29,179,179,0.0001811981201171875
45863,1,29,180,180,0.0001876354217529297
